id,weight,zone,price,created_at,last_modified
1,500,1,1400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
2,600,1,1540,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
3,700,1,1680,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
4,800,1,1820,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
5,900,1,1960,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
6,1000,1,2100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
7,1250,1,2400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
8,1500,1,2700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
9,1750,1,3000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
10,2000,1,3300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
11,2500,1,3800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
12,3000,1,4300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
13,3500,1,4800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
14,4000,1,5300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
15,4500,1,5800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
16,5000,1,6300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
17,5500,1,6800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
18,6000,1,7300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
19,7000,1,8100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
20,8000,1,8900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
21,9000,1,9700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
22,10000,1,10500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
23,11000,1,11300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
24,12000,1,12100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
25,13000,1,12900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
26,14000,1,13700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
27,15000,1,14500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
28,16000,1,15300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
29,17000,1,16100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
30,18000,1,16900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
31,19000,1,17700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
32,20000,1,18500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
33,21000,1,19300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
34,22000,1,20100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
35,23000,1,20900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
36,24000,1,21700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
37,25000,1,22500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
38,26000,1,23300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
39,27000,1,24100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
40,28000,1,24900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
41,29000,1,25700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
