id,weight,zone,airmail_price,SAL_price,surface_price,created_at,last_modified
1,500,1,1700,1800,1600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
2,1000,1,2050,1800,1600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
3,1500,1,2400,2400,1900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
4,2000,1,2750,2400,1900,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
5,2500,1,3100,3000,2200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
6,3000,1,3450,3000,2200,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
7,3500,1,3800,3600,2500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
8,4000,1,4150,3600,2500,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
9,4500,1,4500,4200,2800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
10,5000,1,4850,4200,2800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
11,5500,1,5150,4700,3100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
12,6000,1,5450,4700,3100,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
13,6500,1,5750,5200,3400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
14,7000,1,6050,5200,3400,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
15,7500,1,6350,5700,3700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
16,8000,1,6650,5700,3700,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
17,8500,1,6950,6200,4000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
18,9000,1,7250,6200,4000,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
19,9500,1,7550,6700,4300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
20,10000,1,7850,6700,4300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
21,11000,1,8250,7000,4550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
22,12000,1,8650,7300,4800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
23,13000,1,9050,7600,5050,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
24,14000,1,9450,7900,5300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
25,15000,1,9850,8200,5550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
26,16000,1,10250,8500,5800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
27,17000,1,10650,8800,6050,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
28,18000,1,11050,9100,6300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
29,19000,1,11450,9400,6550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
30,20000,1,11850,9700,6800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
31,21000,1,12250,10000,7050,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
32,22000,1,12650,10300,7300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
33,23000,1,13050,10600,7550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
34,24000,1,13450,10900,7800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
35,25000,1,13850,11200,8050,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
36,26000,1,14250,11500,8300,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
37,27000,1,14650,11800,8550,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
38,28000,1,15050,12100,8800,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
