id,weight,zone,airmail_price,SAL_price,surface_price,created_at,last_modified
1,100,1,350,320,480,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
2,200,1,450,395,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
3,250,1,,,570,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
4,300,1,550,470,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
5,400,1,650,545,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
6,500,1,750,620,720,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
7,600,1,850,695,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
8,700,1,950,770,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
9,800,1,1050,845,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
10,900,1,1150,920,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
11,1000,1,1250,995,1010,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
12,1100,1,1350,1070,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
13,1200,1,1450,1145,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
14,1300,1,1550,1220,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
15,1400,1,1650,1295,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
16,1500,1,1750,1370,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
17,1600,1,1850,1445,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
18,1700,1,1950,1520,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
19,1800,1,2050,1595,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
20,1900,1,2150,1670,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
21,2000,1,2250,1745,1600,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
22,100,2,480,440,480,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
23,200,2,600,530,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
24,250,2,,,570,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
25,300,2,720,620,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
26,400,2,840,710,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
27,500,2,960,800,720,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
28,600,2,1080,890,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
29,700,2,1200,980,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
30,800,2,1320,1070,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
31,900,2,1440,1160,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
32,1000,2,1560,1250,1010,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
33,1100,2,1680,1340,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
34,1200,2,1800,1430,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
35,1300,2,1920,1520,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
36,1400,2,2040,1610,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
37,1500,2,2160,1700,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
38,1600,2,2280,1790,,Thu 13 May 2021 15:57:52 JST,Thu 13 May 2021 15:57:52 JST
